ID,Category,English,Nepali,Review,Source
"ui._winner_6d1c0ab3","callbreak",", winner","","ui","client/src/screens/LiveGameTable.tsx:183"
"ui.value_value_value_tricks_completed_d8251bc4","callbreak","{{value1}} · {{value2}}/{{value3}} tricks completed","","ui","client/src/components/DealStatusPanel.tsx:28"
"ui.value_trick_value_of_value_value_value_cards_played_8804fbc9","callbreak","{{value1}} · Trick {{value2}} of {{value3}} · {{value4}}/{{value5}} cards played","","ui","client/src/components/DealStatusPanel.tsx:25"
"ui.value_cards_only_visible_to_you_fe55d797","callbreak","{{value1}} cards · Only visible to you","","ui","client/src/screens/CallBreakTableScreen.tsx:46"
"ui.value_cards_left_ba54d32d","callbreak","{{value1}} cards left","","ui","client/src/components/DealStatusPanel.tsx:54"
"ui.value_is_revealed_reveal_the_next_card_in_dealt_order_a2844694","callbreak","{{value1}} is revealed. Reveal the next card in dealt order.","","ui","client/src/components/PlayerHand.tsx:125"
"ui.value_leads_first_88701a8f","callbreak","{{value1}} leads first.","","candidate","client/src/screens/LiveGameTable.tsx:196"
"ui.value_of_value_f0c31ce6","callbreak","{{value1}} of {{value2}}","","ui","client/src/components/PlayerHand.tsx:106"
"ui.value_view_a743a30d","callbreak","{{value1}} view","","ui","client/src/components/PlayerHand.tsx:180"
"ui.value_wins_trick_value_670fa3f0","callbreak","{{value1}} wins trick {{value2}}","","ui","client/src/screens/LiveGameTable.tsx:168"
"ui.value_value_cards_fcdf733b","callbreak","{{value1}}, {{value2}} cards","","ui","client/src/components/PlayerHand.tsx:158"
"ui.value_value_67bfcacc","callbreak","{{value1}}: {{value2}}","","ui","client/src/components/DealStatusPanel.tsx:28; client/src/multiplayer/roundFlow.ts:14"
"ui.valuewaiting_for_value_to_bid_1fc40e3f","callbreak","{{value1}}Waiting for {{value2}} to bid.","","candidate","client/src/components/LiveBidPrompt.tsx:23"
"ui._back_to_lobby_dde17ad7","callbreak","← Back to lobby","","ui","client/src/screens/CallBreakTableScreen.tsx:39"
"ui.accept_hand_398d4c01","callbreak","Accept hand","","candidate","client/src/screens/LiveGameTable.tsx:199"
"ui.accept_your_hand_or_request_a_redeal_if_eligible_4e90c680","callbreak","Accept your hand, or request a redeal if eligible.","","ui","client/src/multiplayer/roundFlow.ts:20"
"ui.all_d87c4480","callbreak","all","","ui","client/src/components/PlayerHand.tsx:158"
"ui.all_hands_played_ae542d93","callbreak","All hands played","","candidate","client/src/components/DealStatusPanel.tsx:28"
"ui.all_suits_58728179","callbreak","All suits","","ui","client/src/components/PlayerHand.tsx:158"
"ui.bid_ce75bff8","callbreak","Bid","","candidate","client/src/components/RoundSummary.tsx:21; client/src/multiplayer/roundFlow.ts:1"
"ui.bid_value_00a94760","callbreak; shared","Bid {{value1}}","","ui","client/src/components/DealStatusPanel.tsx:52; client/src/components/GameDetails.tsx:47"
"ui.bidding_39e5b462","callbreak","Bidding","","candidate","client/src/components/LiveBidPrompt.tsx:19"
"ui.bidding_begins_when_everyone_accepts_69f461d1","callbreak","Bidding begins when everyone accepts.","","ui","client/src/multiplayer/roundFlow.ts:20"
"ui.bidding_complete_value_d7339a35","callbreak","Bidding complete. {{value1}}","","ui","client/src/screens/LiveGameTable.tsx:196"
"ui.bids_value_total_value_available_tricks_06667902","callbreak","Bids · {{value1}} total / {{value2}} available tricks","","ui","client/src/components/DealStatusPanel.tsx:36"
"ui.call_break_deal_1_of_5_spades_trump_d1e7f7b0","callbreak","Call Break · Deal 1 of 5 · Spades trump","","ui","client/src/screens/CallBreakTableScreen.tsx:41"
"ui.cancel_card_selection_aa7b96ff","callbreak","Cancel card selection","","ui","client/src/components/PlayerHand.tsx:148"
"ui.card_grid_7e900370","callbreak","Card grid","","ui","client/src/components/PlayerHand.tsx:102; client/src/components/PlayerHand.tsx:180"
"ui.card_placed_preview_paused_b2b2bc53","callbreak","Card placed · preview paused","","candidate","client/src/screens/CallBreakTableScreen.tsx:44"
"ui.choose_a_bid_85439931","callbreak","choose a bid","","candidate","client/src/multiplayer/roundFlow.ts:21"
"ui.choose_how_many_tricks_you_will_win_then_confirm_c6a87c04","callbreak","Choose how many tricks you will win, then confirm.","","candidate","client/src/multiplayer/roundFlow.ts:21"
"ui.clubs_1be893ca","callbreak; marriage","Clubs","","candidate","client/src/components/PlayerHand.tsx:21; client/src/multiplayer/marriage.ts:21; client/src/multiplayer/marriageArrangement.ts:20"
"ui.confirm_bid_2bb0c543","callbreak","Confirm bid","","candidate","client/src/components/LiveBidPrompt.tsx:28"
"ui.current_deal_3263eae7","callbreak","Current deal","","ui","client/src/components/DealStatusPanel.tsx:22"
"ui.current_deal_player_bids_690f2a03","callbreak","Current deal player bids","","ui","client/src/components/DealStatusPanel.tsx:46"
"ui.current_turn_b879834b","callbreak","Current turn","","candidate","client/src/components/DealStatusPanel.tsx:28; client/src/components/DealStatusPanel.tsx:55"
"ui.cut_38d13bda","callbreak","Cut","","candidate","client/src/multiplayer/roundFlow.ts:1"
"ui.cut_in_half_or_skip_the_cut_0c6428f1","callbreak","Cut in half or skip the cut.","","candidate","client/src/multiplayer/roundFlow.ts:18"
"ui.cut_the_deck_5a2ab5ab","callbreak","cut the deck","","candidate","client/src/multiplayer/roundFlow.ts:18"
"ui.deal_value_complete_ccf8fac6","callbreak","Deal {{value1}} complete","","ui","client/src/components/RoundSummary.tsx:19"
"ui.deal_value_of_5_value_value_tricks_completed_spades_tru_c898fbab","callbreak","Deal {{value1}} of 5 · {{value2}}/{{value3}} tricks completed · Spades trump","","ui","client/src/screens/LiveGameTable.tsx:161"
"ui.deal_complete_dc82daa0","callbreak","Deal complete","","ui","client/src/components/DealStatusPanel.tsx:26; client/src/multiplayer/roundFlow.ts:27"
"ui.deal_the_cards_a43ce271","callbreak","deal the cards","","candidate","client/src/multiplayer/roundFlow.ts:19"
"ui.decrease_bid_46e53040","callbreak","Decrease bid","","ui","client/src/components/LiveBidPrompt.tsx:25"
"ui.diamonds_66aa2c27","callbreak; marriage","Diamonds","","candidate","client/src/components/PlayerHand.tsx:21; client/src/multiplayer/marriage.ts:21; client/src/multiplayer/marriageArrangement.ts:20"
"ui.each_player_confirms_their_bid_and_taps_a_card_to_play_8b75f8c8","callbreak","Each player confirms their bid and taps a card to play. No turn time limit.","","ui","client/src/screens/LiveGameTable.tsx:129"
"ui.everyone_is_here_the_first_dealer_will_be_chosen_at_ran_e877f514","callbreak","Everyone is here. The first dealer will be chosen at random.","","candidate","client/src/screens/LiveGameTable.tsx:128"
"ui.fan_28994411","callbreak","fan","","ui","client/src/components/PlayerHand.tsx:180"
"ui.filter_hand_by_suit_6f5996d5","callbreak","Filter hand by suit","","ui","client/src/components/PlayerHand.tsx:155"
"ui.final_scores_206bf327","callbreak","Final scores","","ui","client/src/components/RoundSummary.tsx:19"
"ui.final_scores_after_five_deals_96e5acd4","callbreak","Final scores after five deals.","","ui","client/src/multiplayer/roundFlow.ts:28"
"ui.flip_all_d194b848","callbreak","Flip all","","ui","client/src/components/PlayerHand.tsx:153"
"ui.flip_all_cards_e9321d10","callbreak","Flip all cards","","ui","client/src/components/PlayerHand.tsx:153"
"ui.flip_all_cards_or_reveal_them_one_at_a_time_before_choo_22c293c7","callbreak","Flip all cards or reveal them one at a time before choosing your bid.","","candidate","client/src/components/LiveBidPrompt.tsx:22"
"ui.follow_value_if_you_can_select_a_legal_card_then_confir_45a792b5","callbreak","Follow {{value1}} if you can. Select a legal card, then confirm Play.","","candidate","client/src/multiplayer/roundFlow.ts:25"
"ui.grid_701c483f","callbreak","Grid","","candidate","client/src/components/PlayerHand.tsx:183"
"ui.hand_options_64d0cf75","callbreak","Hand options","","ui","client/src/components/PlayerHand.tsx:166"
"ui.hand_view_a48cd096","callbreak","Hand view","","ui","client/src/components/PlayerHand.tsx:178"
"ui.hearts_99f9bf69","callbreak; marriage","Hearts","","candidate","client/src/components/PlayerHand.tsx:21; client/src/multiplayer/marriage.ts:21; client/src/multiplayer/marriageArrangement.ts:20"
"ui.hide_bids_and_player_status_bdf5742b","callbreak","Hide bids and player status","","candidate","client/src/components/DealStatusPanel.tsx:31"
"ui.how_many_tricks_will_you_win_bcc7bd2d","callbreak","How many tricks will you win?","","candidate","client/src/components/LiveBidPrompt.tsx:22"
"ui.increase_bid_8b31100d","callbreak","Increase bid","","ui","client/src/components/LiveBidPrompt.tsx:27"
"ui.keep_your_seat_for_the_next_match_or_choose_leave_seat_9cbf8b5a","callbreak","Keep your seat for the next match, or choose Leave Seat above. The host can prepare the next match when every seat is filled.","","ui","client/src/components/RoundSummary.tsx:31"
"ui.last_trick_9b88cfe4","callbreak","Last trick","","ui","client/src/screens/LiveGameTable.tsx:176"
"ui.last_trick_value_won_da02fbb2","callbreak","Last trick - {{value1}} won","","ui","client/src/screens/LiveGameTable.tsx:178"
"ui.layout_preview_with_sample_cards_and_seats_card_placeme_2ecde569","callbreak","Layout preview with sample cards and seats. Card placement is local; turns and game rules aren’t connected yet.","","ui","client/src/screens/CallBreakTableScreen.tsx:62"
"ui.make_your_call_54a0d793","callbreak","Make your call","","candidate","client/src/components/LiveBidPrompt.tsx:19; client/src/screens/LiveGameTable.tsx:194"
"ui.match_complete_3f7c3259","callbreak","Match complete","","ui","client/src/multiplayer/roundFlow.ts:28"
"ui.next_bids_7a22ed43","callbreak","Next bids","","ui","client/src/components/DealStatusPanel.tsx:41"
"ui.next_turn_c6ba2883","callbreak","Next turn","","candidate","client/src/components/DealStatusPanel.tsx:28; client/src/components/DealStatusPanel.tsx:55"
"ui.no_value_left_choose_another_suit_294345d1","callbreak","No {{value1}} left. Choose another suit.","","candidate","client/src/components/PlayerHand.tsx:150"
"ui.no_cards_in_your_hand_5faf6a84","callbreak","No cards in your hand.","","candidate","client/src/components/PlayerHand.tsx:150"
"ui.place_value_on_the_table_d5687d7c","callbreak","Place {{value1}} on the table","","candidate","client/src/screens/CallBreakTableScreen.tsx:60"
"ui.place_selected_card_fe6485a2","callbreak","Place selected card","","ui","client/src/screens/CallBreakTableScreen.tsx:56"
"ui.play_5d12bd53","callbreak","Play","","candidate","client/src/multiplayer/roundFlow.ts:1"
"ui.play_value_9bdd6cd6","callbreak","Play {{value1}}","","ui","client/src/components/PlayerHand.tsx:145; client/src/screens/LiveGameTable.tsx:187"
"ui.play_valuevalue_9f80996a","callbreak","Play {{value1}}{{value2}}","","ui","client/src/components/PlayerHand.tsx:146"
"ui.play_a_card_050256a8","callbreak","play a card","","candidate","client/src/multiplayer/roundFlow.ts:25"
"ui.play_a_card_cf2de2a6","callbreak","Play a card","","candidate","client/src/screens/LiveGameTable.tsx:194"
"ui.playing_298c3905","callbreak; rooms-and-tables","Playing","","candidate","client/src/components/DealStatusPanel.tsx:26; client/src/multiplayer/tableNavigation.ts:20; client/src/screens/LobbyScreen.tsx:118"
"ui.poke_sent_to_value_191c4d3a","callbreak","Poke sent to {{value1}} ✦","","ui","client/src/screens/LiveGameTable.tsx:120"
"ui.preparing_the_deal_76e338c1","callbreak","Preparing the deal","","ui","client/src/multiplayer/roundFlow.ts:29"
"ui.preparing_the_deck_9f89203d","callbreak","Preparing the deck.","","ui","client/src/multiplayer/roundFlow.ts:17"
"ui.preview_paused_cbb244a1","callbreak","Preview paused","","candidate","client/src/components/DealStatusPanel.tsx:26"
"ui.previous_bids_6eba284f","callbreak","Previous bids","","ui","client/src/components/DealStatusPanel.tsx:38"
"ui.request_redeal_4ece36d9","callbreak","Request redeal","","candidate","client/src/screens/LiveGameTable.tsx:199"
"ui.reset_table_preview_bb0f42fd","callbreak","Reset table preview","","ui","client/src/screens/CallBreakTableScreen.tsx:56; client/src/screens/CallBreakTableScreen.tsx:60"
"ui.reveal_card_value_369c7eaa","callbreak","Reveal card {{value1}}","","ui","client/src/components/PlayerHand.tsx:105"
"ui.reveal_next_60baea6a","callbreak","Reveal next","","ui","client/src/components/PlayerHand.tsx:152"
"ui.reveal_next_card_ea415408","callbreak","Reveal next card","","ui","client/src/components/PlayerHand.tsx:152"
"ui.reveal_next_card_from_position_value_376d19d8","callbreak","Reveal next card from position {{value1}}","","ui","client/src/components/PlayerHand.tsx:124"
"ui.reveal_the_next_card_in_dealt_order_without_playing_it_fbc65a27","callbreak","Reveal the next card in dealt order without playing it","","ui","client/src/components/PlayerHand.tsx:125"
"ui.reveal_your_hand_a170c2f3","callbreak","Reveal your hand","","candidate","client/src/components/LiveBidPrompt.tsx:19"
"ui.review_the_scores_before_the_next_deal_70c2dde5","callbreak","Review the scores before the next deal.","","ui","client/src/multiplayer/roundFlow.ts:27"
"ui.review_your_cards_accept_or_request_redeal_b1b9e584","callbreak","Review your cards · Accept or request redeal","","candidate","client/src/screens/LiveGameTable.tsx:194"
"ui.review_your_cards_while_the_remaining_players_bid_225a1f8b","callbreak","Review your cards while the remaining players bid.","","candidate","client/src/multiplayer/roundFlow.ts:21"
"ui.review_your_hand_776ea244","callbreak","Review your hand","","ui","client/src/multiplayer/roundFlow.ts:20"
"ui.round_complete_call_break_3bf2c4e9","callbreak","Round complete · Call Break","","ui","client/src/components/RoundSummary.tsx:20"
"ui.s_a0f1490a","callbreak","s","","ui","client/src/components/RoundSummary.tsx:20"
"ui.scores_126cb932","callbreak","Scores","","candidate","client/src/multiplayer/roundFlow.ts:1"
"ui.select_value_503f816f","callbreak","Select {{value1}}","","ui","client/src/components/PlayerHand.tsx:105; client/src/components/PlayerHand.tsx:124; client/src/screens/CallBreakTableScreen.tsx:48"
"ui.select_a_card_to_place_bbd5ce1e","callbreak","Select a card to place","","candidate","client/src/screens/CallBreakTableScreen.tsx:60"
"ui.selected_bid_value_483209dd","callbreak","Selected bid {{value1}}","","ui","client/src/components/LiveBidPrompt.tsx:26"
"ui.sent_to_the_table_443b1159","callbreak","Sent to the table ✦","","ui","client/src/screens/LiveGameTable.tsx:120"
"ui.show_cards_d2c1837a","callbreak; marriage","Show cards","","ui","client/src/components/PlayerHand.tsx:95; client/src/components/PlayerHand.tsx:95; client/src/screens/MarriageTable.tsx:159"
"ui.shuffle_5b772b7b","callbreak","Shuffle","","candidate","client/src/multiplayer/roundFlow.ts:1"
"ui.shuffle_deck_ddde82d8","callbreak","Shuffle deck","","ui","client/src/screens/LiveGameTable.tsx:148"
"ui.shuffle_suits_03fbf40d","callbreak","Shuffle suits","","ui","client/src/components/PlayerHand.tsx:174; client/src/components/PlayerHand.tsx:175"
"ui.shuffle_the_deck_e9358ee1","callbreak","shuffle the deck","","candidate","client/src/multiplayer/roundFlow.ts:16"
"ui.shuffling_60d79394","callbreak","Shuffling","","ui","client/src/multiplayer/roundFlow.ts:17"
"ui.sorted_fan_ac1731f4","callbreak","Sorted fan","","ui","client/src/components/PlayerHand.tsx:180; client/src/components/PlayerHand.tsx:183"
"ui.spades_7d06baf9","callbreak; marriage","Spades","","candidate","client/src/components/PlayerHand.tsx:21; client/src/multiplayer/marriage.ts:21; client/src/multiplayer/marriageArrangement.ts:20"
"ui.spectator_view_6c0283ef","callbreak","Spectator view","","candidate","client/src/screens/LiveGameTable.tsx:200"
"ui.start_a_new_game_2d97aab2","callbreak; rooms-and-tables","Start a new game","","candidate","client/src/components/RoundSummary.tsx:32; client/src/components/TableStartCue.tsx:20"
"ui.start_next_deal_f9756666","callbreak","Start next deal","","ui","client/src/components/RoundSummary.tsx:32; client/src/screens/LiveGameTable.tsx:136"
"ui.suit_fan_18c00586","callbreak","Suit fan","","ui","client/src/components/PlayerHand.tsx:180; client/src/components/PlayerHand.tsx:183"
"ui.suits_df78d3c5","callbreak","suits","","ui","client/src/components/PlayerHand.tsx:180"
